Date,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
2012-06-20,-0.27626256023838075,-2.3998773350435234e-05,-2.3788755459202187e-05,-2.3763239159625588e-05,-2.402276108717771e-05,-2.3775780301513618e-05
2012-08-01,-0.3062043754381931,-3.098409975291611e-05,-3.0719752329439674e-05,-3.065741793283743e-05,-3.0970567755137775e-05,-3.067422692668002e-05
2012-09-13,-0.2824663461108182,-2.8604066544689158e-05,-2.8381602086660715e-05,-2.8348758949355663e-05,-2.8652245118829588e-05,-2.8362868656197517e-05
2012-10-24,-0.3661315094355715,-0.005126594986282966,-4.255828830607254e-05,-4.247151123056809e-05,-4.2943019523512695e-05,-4.249418765686965e-05
2012-12-12,-0.18491926298662625,-1.619759135265184e-05,-1.6230270178252423e-05,-1.6039080816492943e-05,-1.622288934369543e-05,-1.604718168261318e-05
2013-01-30,-0.36273198145602376,-3.7650723436027934e-05,-3.7358260557190546e-05,-3.724924869846695e-05,-0.010681710102874048,-3.726859921514475e-05
2013-03-20,-0.26400268019384765,-2.4987206004790425e-05,-2.477077770711976e-05,-2.4742773454360842e-05,-0.013125785760063274,-2.475606120002869e-05
2013-05-01,-0.3190432995344854,-3.6561878054011354e-05,-3.6268741807310056e-05,-3.617000381568272e-05,-0.009925434107559406,-3.61897849111249e-05
2013-06-19,-0.3544933627654639,-3.5831598354477e-05,-3.551616657130109e-05,-3.5473221323233765e-05,-0.00602006134790763,-3.54926052975326e-05
2013-07-31,-0.389450995574557,-3.80874579249504e-05,-3.772468082798941e-05,-3.768373786574774e-05,-0.003461387579185203,-3.770478466804335e-05
2013-09-18,-0.2223594567697728,-2.0052012725656863e-05,-1.9881344923290723e-05,-1.9848622458473854e-05,-0.0074459598575201975,-1.9858863863936644e-05
2013-10-30,-0.1696083107463528,-1.81813007007163e-05,-1.8011591227633566e-05,-1.7988750276235624e-05,-0.008233620065046816,-1.799797584363812e-05
2013-12-18,-0.2928233809511473,-2.7509624110959043e-05,-2.725984892717105e-05,-2.7223570676022934e-05,-0.03706738821859271,-2.723778654579746e-05
2014-01-29,-0.3185821935997397,-3.277249873155643e-05,-3.245329589404749e-05,-3.24166519169123e-05,-0.0024998511863874337,-3.243397945152907e-05
2014-03-19,-0.14325891079605366,-1.5810995463632474e-05,-1.566953172586974e-05,-1.5650259127871983e-05,-0.028553299360190618,-1.5659057438352997e-05
2014-04-30,-0.25870442165175855,-4.066139292956571e-05,-4.031948113470218e-05,-4.025184298193502e-05,-0.08952116930440904,-4.027310097968559e-05
